run,fit1,node1,fit2,node2
2,194492,-22.9987_17.9990_17.9990_-19.9989_-5.9997,194443,-21.9987_18.9989_17.9990_-19.9988_-5.9997
2,194443,-21.9987_18.9989_17.9990_-19.9988_-5.9997,194399,-21.9987_19.9988_16.9990_-19.9988_-4.9997
2,194399,-21.9987_19.9988_16.9990_-19.9988_-4.9997,194342,-21.9987_19.9988_16.9990_-19.9988_-3.9998
2,194342,-21.9987_19.9988_16.9990_-19.9988_-3.9998,193532,-20.9985_18.9987_14.9989_-20.9985_-1.9999
2,193532,-20.9985_18.9987_14.9989_-20.9985_-1.9999,192700,-21.9982_16.9986_13.9988_-19.9984_-0.9999
2,192700,-21.9982_16.9986_13.9988_-19.9984_-0.9999,192429,-21.9981_15.9986_13.9988_-19.9983_-1.9998
2,192429,-21.9981_15.9986_13.9988_-19.9983_-1.9998,191554,-20.9979_14.9985_11.9988_-20.9979_-0.9999
2,191554,-20.9979_14.9985_11.9988_-20.9979_-0.9999,191326,-19.9979_16.9983_9.9990_-20.9978_0.9999
2,191326,-19.9979_16.9983_9.9990_-20.9978_0.9999,184285,-13.9968_19.9954_3.9991_-13.9968_-0.9998
2,184285,-13.9968_19.9954_3.9991_-13.9968_-0.9998,180412,-11.9962_18.9940_4.9984_-11.9962_-0.9997
2,180412,-11.9962_18.9940_4.9984_-11.9962_-0.9997,178070,-10.9959_18.9930_4.9981_-9.9963_-1.9993
2,178070,-10.9959_18.9930_4.9981_-9.9963_-1.9993,175672,-9.9957_18.9918_2.9986_-8.9961_-1.9992
2,175672,-9.9957_18.9918_2.9986_-8.9961_-1.9992,171158,-2.9983_18.9894_4.9972_-6.9961_-4.9972
2,171158,-2.9983_18.9894_4.9972_-6.9961_-4.9972,163674,2.9976_15.9873_6.9944_-6.9944_0.9992
2,163674,2.9976_15.9873_6.9944_-6.9944_0.9992,163244,1.9984_15.9870_6.9943_-6.9943_-0.9992
2,163244,1.9984_15.9870_6.9943_-6.9943_-0.9992,159691,1.9981_15.9850_4.9953_-5.9944_0.0000
2,159691,1.9981_15.9850_4.9953_-5.9944_0.0000,158133,0.0000_14.9850_3.9960_-7.9920_0.9990
2,158133,0.0000_14.9850_3.9960_-7.9920_0.9990,156588,0.9989_14.9841_3.9958_-6.9926_0.9989
2,156588,0.9989_14.9841_3.9958_-6.9926_0.9989,124508,2.9913_6.9796_2.9913_3.9884_5.9826
2,124508,2.9913_6.9796_2.9913_3.9884_5.9826,122273,1.9938_7.9753_1.9938_1.9938_5.9815
2,122273,1.9938_7.9753_1.9938_1.9938_5.9815,110431,0.9958_5.9748_1.9916_1.9916_5.9748
2,110431,0.9958_5.9748_1.9916_1.9916_5.9748,100355,-0.0000_0.0000_2.9839_3.9785_5.9676
2,100355,-0.0000_0.0000_2.9839_3.9785_5.9676,59783,0.9851_0.9851_2.9548_0.9851_1.9701
2,59783,0.9851_0.9851_2.9548_0.9851_1.9701,32228,0.0000_0.9639_0.9639_-0.9639_-0.9639
2,32228,0.0000_0.9639_0.9639_-0.9639_-0.9639,0,-0.0000_-0.0000_0.0000_0.0000_0.0000
2,0,-0.0000_-0.0000_0.0000_0.0000_0.0000,0,0.0000_-0.0000_0.0000_0.0000_-0.0000
2,0,0.0000_-0.0000_0.0000_0.0000_-0.0000,0,-0.0000_-0.0000_0.0000_0.0000_0.0000
2,0,-0.0000_-0.0000_0.0000_0.0000_0.0000,0,-0.0000_-0.0000_-0.0000_-0.0000_0.0000
2,0,-0.0000_-0.0000_-0.0000_-0.0000_0.0000,0,0.0000_0.0000_0.0000_-0.0000_0.0000
2,0,0.0000_0.0000_0.0000_-0.0000_0.0000,0,-0.0000_-0.0000_0.0000_0.0000_-0.0000
2,0,-0.0000_-0.0000_0.0000_0.0000_-0.0000,0,0.0000_-0.0000_0.0000_-0.0000_0.0000
2,0,0.0000_-0.0000_0.0000_-0.0000_0.0000,0,0.0000_0.0000_-0.0000_-0.0000_0.0000
2,0,0.0000_0.0000_-0.0000_-0.0000_0.0000,0,0.0000_0.0000_0.0000_0.0000_-0.0000
3,195282,24.9988_14.9993_27.9987_-10.9995_0.0000,194994,23.9988_13.9993_27.9986_-11.9994_-0.0000
3,194994,23.9988_13.9993_27.9986_-11.9994_-0.0000,194811,24.9987_12.9993_26.9986_-11.9994_-0.0000
3,194811,24.9987_12.9993_26.9986_-11.9994_-0.0000,194349,24.9985_11.9993_25.9985_-11.9993_0.9999
3,194349,24.9985_11.9993_25.9985_-11.9993_0.9999,194194,24.9985_10.9993_25.9984_-11.9993_0.0000
3,194194,24.9985_10.9993_25.9984_-11.9993_0.0000,193739,23.9984_9.9993_25.9982_-11.9992_1.9999
3,193739,23.9984_9.9993_25.9982_-11.9992_1.9999,193717,23.9984_9.9993_25.9982_-11.9992_0.9999
3,193717,23.9984_9.9993_25.9982_-11.9992_0.9999,193710,23.9984_9.9993_25.9982_-11.9992_-0.0000
3,193710,23.9984_9.9993_25.9982_-11.9992_-0.0000,193026,22.9982_8.9993_25.9980_-10.9992_0.9999
3,193026,22.9982_8.9993_25.9980_-10.9992_0.9999,192629,21.9982_8.9993_25.9978_-10.9991_0.0000
3,192629,21.9982_8.9993_25.9978_-10.9991_0.0000,191877,21.9979_6.9993_24.9976_-10.9990_-1.9998
3,191877,21.9979_6.9993_24.9976_-10.9990_-1.9998,189490,17.9976_-5.9992_14.9980_-21.9971_-3.9995
3,189490,17.9976_-5.9992_14.9980_-21.9971_-3.9995,189170,16.9976_-6.9990_14.9979_-21.9970_-3.9994
3,189170,16.9976_-6.9990_14.9979_-21.9970_-3.9994,189140,15.9978_-6.9990_15.9978_-21.9969_-3.9994
3,189140,15.9978_-6.9990_15.9978_-21.9969_-3.9994,125426,0.9972_3.9887_9.9716_1.9943_0.9972
3,125426,0.9972_3.9887_9.9716_1.9943_0.9972,109529,3.9829_2.9872_6.9699_-0.9957_1.9915
3,109529,3.9829_2.9872_6.9699_-0.9957_1.9915,68200,0.0000_-1.9761_0.9881_3.9517_0.9881
3,68200,0.0000_-1.9761_0.9881_3.9517_0.9881,48838,-0.0000_-2.9374_0.0000_0.0000_-0.9796
3,48838,-0.0000_-2.9374_0.0000_0.0000_-0.9796,35745,-0.9685_-0.9685_0.9685_-0.9685_-0.9685
3,35745,-0.9685_-0.9685_0.9685_-0.9685_-0.9685,32228,-0.9639_-0.9639_0.9639_-0.0000_-0.9639
3,32228,-0.9639_-0.9639_0.9639_-0.0000_-0.9639,23168,-0.9454_-0.0000_-0.0000_0.9454_0.0000
3,23168,-0.9454_-0.0000_-0.0000_0.9454_0.0000,0,-0.0000_0.0000_-0.0000_0.0000_0.0000
3,0,-0.0000_0.0000_-0.0000_0.0000_0.0000,0,-0.0000_0.0000_-0.0000_0.0000_0.0000
3,0,-0.0000_0.0000_-0.0000_0.0000_0.0000,0,0.0000_-0.0000_-0.0000_-0.0000_0.0000
3,0,0.0000_-0.0000_-0.0000_-0.0000_0.0000,0,0.0000_-0.0000_0.0000_0.0000_0.0000
3,0,0.0000_-0.0000_0.0000_0.0000_0.0000,0,-0.0000_-0.0000_-0.0000_-0.0000_-0.0000
3,0,-0.0000_-0.0000_-0.0000_-0.0000_-0.0000,0,0.0000_0.0000_0.0000_0.0000_-0.0000
3,0,0.0000_0.0000_0.0000_0.0000_-0.0000,0,0.0000_-0.0000_-0.0000_0.0000_0.0000
3,0,0.0000_-0.0000_-0.0000_0.0000_0.0000,0,0.0000_0.0000_-0.0000_0.0000_-0.0000
4,191618,23.9976_1.9998_13.9986_-18.9981_10.9989,190492,24.9971_2.9997_10.9988_-17.9979_8.9990
4,190492,24.9971_2.9997_10.9988_-17.9979_8.9990,189852,24.9968_3.9995_9.9987_-16.9979_8.9989
4,189852,24.9968_3.9995_9.9987_-16.9979_8.9989,189490,24.9967_2.9996_8.9988_-16.9977_8.9988
4,189490,24.9967_2.9996_8.9988_-16.9977_8.9988,189418,24.9966_1.9997_8.9988_-16.9977_8.9988
4,189418,24.9966_1.9997_8.9988_-16.9977_8.9988,189375,24.9966_0.9999_8.9988_-16.9977_8.9988
4,189375,24.9966_0.9999_8.9988_-16.9977_8.9988,176262,10.9954_-2.9988_-6.9971_-16.9929_-9.9958
4,176262,10.9954_-2.9988_-6.9971_-16.9929_-9.9958,174819,7.9964_-1.9991_-8.9959_-17.9918_-7.9964
4,174819,7.9964_-1.9991_-8.9959_-17.9918_-7.9964,172480,6.9964_-2.9984_-7.9959_-16.9912_-8.9953
4,172480,6.9964_-2.9984_-7.9959_-16.9912_-8.9953,167855,6.9954_-3.9974_-7.9948_-14.9902_-7.9948
4,167855,6.9954_-3.9974_-7.9948_-14.9902_-7.9948,167429,6.9953_-2.9980_-6.9953_-15.9893_-6.9953
4,167429,6.9953_-2.9980_-6.9953_-15.9893_-6.9953,165158,4.9963_-3.9970_-6.9948_-15.9881_-5.9955
4,165158,4.9963_-3.9970_-6.9948_-15.9881_-5.9955,161440,4.9956_-1.9983_-6.9939_-14.9869_-5.9948
4,161440,4.9956_-1.9983_-6.9939_-14.9869_-5.9948,158453,5.9941_-1.9980_-5.9940_-12.9871_-7.9921
4,158453,5.9941_-1.9980_-5.9940_-12.9871_-7.9921,72943,-1.9789_1.9789_2.9682_-2.9682_0.0000
4,72943,-1.9789_1.9789_2.9682_-2.9682_0.0000,0,0.0000_-0.0000_-0.0000_0.0000_-0.0000
4,0,0.0000_-0.0000_-0.0000_0.0000_-0.0000,0,-0.0000_0.0000_-0.0000_-0.0000_0.0000
4,0,-0.0000_0.0000_-0.0000_-0.0000_0.0000,0,0.0000_-0.0000_0.0000_-0.0000_0.0000
4,0,0.0000_-0.0000_0.0000_-0.0000_0.0000,0,-0.0000_-0.0000_0.0000_-0.0000_0.0000
4,0,-0.0000_-0.0000_0.0000_-0.0000_0.0000,0,0.0000_0.0000_0.0000_0.0000_0.0000
5,157262,-0.9989_-16.9824_-1.9980_1.9980_0.0001,154211,-1.9977_-15.9814_-1.9977_1.9977_-1.9977
5,154211,-1.9977_-15.9814_-1.9977_1.9977_-1.9977,141456,-0.0000_-11.9786_-3.9929_1.9964_4.9911
5,141456,-0.0000_-11.9786_-3.9929_1.9964_4.9911,140489,-1.9963_-10.9798_-4.9908_2.9945_4.9908
5,140489,-1.9963_-10.9798_-4.9908_2.9945_4.9908,137402,-0.9980_-9.9798_-5.9879_3.9919_3.9919
5,137402,-0.9980_-9.9798_-5.9879_3.9919_3.9919,134004,-1.9955_-9.9777_-4.9889_4.9889_0.0000
5,134004,-1.9955_-9.9777_-4.9889_4.9889_0.0000,129433,-1.9949_-8.9771_-4.9873_4.9873_-0.9975
5,129433,-1.9949_-8.9771_-4.9873_4.9873_-0.9975,88514,0.9928_-2.9785_1.9856_1.9857_-4.9639
5,88514,0.9928_-2.9785_1.9856_1.9857_-4.9639,75116,-0.9900_-0.9900_2.9699_0.9900_-3.9597
5,75116,-0.9900_-0.9900_2.9699_0.9900_-3.9597,59783,-0.9851_0.9851_2.9548_0.9851_-1.9701
5,59783,-0.9851_0.9851_2.9548_0.9851_-1.9701,58176,-0.9844_0.9844_2.9527_-0.0000_-1.9687
5,58176,-0.9844_0.9844_2.9527_-0.0000_-1.9687,0,0.0000_-0.0000_-0.0000_-0.0000_-0.0000
5,0,0.0000_-0.0000_-0.0000_-0.0000_-0.0000,0,0.0000_-0.0000_0.0000_-0.0000_-0.0000
5,0,0.0000_-0.0000_0.0000_-0.0000_-0.0000,0,-0.0000_0.0000_-0.0000_-0.0000_-0.0000
5,0,-0.0000_0.0000_-0.0000_-0.0000_-0.0000,0,-0.0000_0.0000_0.0000_0.0000_-0.0000
5,0,-0.0000_0.0000_0.0000_0.0000_-0.0000,0,0.0000_-0.0000_0.0000_0.0000_-0.0000
5,0,0.0000_-0.0000_0.0000_0.0000_-0.0000,0,0.0000_-0.0000_-0.0000_0.0000_0.0000
5,0,0.0000_-0.0000_-0.0000_0.0000_0.0000,0,-0.0000_-0.0000_0.0000_-0.0000_0.0000
5,0,-0.0000_-0.0000_0.0000_-0.0000_0.0000,0,0.0000_0.0000_-0.0000_0.0000_0.0000
5,0,0.0000_0.0000_-0.0000_0.0000_0.0000,0,0.0000_0.0000_0.0000_-0.0000_0.0000
6,194929,-3.9998_-3.9998_27.9986_-25.9987_-13.9993,192874,-3.9997_-4.9996_25.9979_-22.9981_-11.9991
6,192874,-3.9997_-4.9996_25.9979_-22.9981_-11.9991,192770,-3.9997_-5.9995_25.9979_-22.9981_-10.9991
6,192770,-3.9997_-5.9995_25.9979_-22.9981_-10.9991,192584,-3.9997_-5.9995_25.9978_-22.9981_-9.9992
6,192584,-3.9997_-5.9995_25.9978_-22.9981_-9.9992,192420,-2.9997_-4.9996_25.9978_-22.9980_-9.9991
6,192420,-2.9997_-4.9996_25.9978_-22.9980_-9.9991,192251,-1.9998_-5.9995_25.9977_-21.9981_-10.9990
6,192251,-1.9998_-5.9995_25.9977_-21.9981_-10.9990,192241,-1.9998_-4.9996_26.9976_-20.9981_-10.9990
6,192241,-1.9998_-4.9996_26.9976_-20.9981_-10.9990,191618,-3.9996_-5.9994_25.9974_-18.9981_-12.9987
6,191618,-3.9996_-5.9994_25.9974_-18.9981_-12.9987,190378,-2.9997_-5.9993_24.9970_-15.9981_-14.9982
6,190378,-2.9997_-5.9993_24.9970_-15.9981_-14.9982,188974,-1.9997_-5.9991_22.9967_-14.9979_-15.9978
6,188974,-1.9997_-5.9991_22.9967_-14.9979_-15.9978,188537,-0.9998_-4.9992_21.9967_-15.9976_-15.9976
6,188537,-0.9998_-4.9992_21.9967_-15.9976_-15.9976,188024,-3.9994_-6.9989_20.9967_-13.9978_-16.9973
6,188024,-3.9994_-6.9989_20.9967_-13.9978_-16.9973,187426,-2.9995_-6.9988_20.9964_-12.9978_-16.9971
6,187426,-2.9995_-6.9988_20.9964_-12.9978_-16.9971,183624,-1.9995_-6.9983_18.9954_-11.9971_-14.9963
6,183624,-1.9995_-6.9983_18.9954_-11.9971_-14.9963,183359,-2.9993_2.9993_10.9973_-2.9992_-24.9938
6,183359,-2.9993_2.9993_10.9973_-2.9992_-24.9938,178806,4.9982_13.9951_11.9958_-2.9989_-15.9944
6,178806,4.9982_13.9951_11.9958_-2.9989_-15.9944,177297,2.9988_12.9949_9.9961_-4.9981_-16.9934
6,177297,2.9988_12.9949_9.9961_-4.9981_-16.9934,177297,2.9988_12.9949_9.9961_-4.9981_-16.9934
6,177297,2.9988_12.9949_9.9961_-4.9981_-16.9934,175625,1.9991_12.9944_9.9958_-4.9977_-15.9931
6,175625,1.9991_12.9944_9.9958_-4.9977_-15.9931,170675,2.9983_8.9949_8.9949_-0.9994_-16.9903
6,170675,2.9983_8.9949_8.9949_-0.9994_-16.9903,168817,1.9987_6.9956_8.9944_-2.9981_-16.9893
6,168817,1.9987_6.9956_8.9944_-2.9981_-16.9893,167714,0.9993_5.9960_8.9941_-2.9980_-16.9888
6,167714,0.9993_5.9960_8.9941_-2.9980_-16.9888,162087,0.0000_3.9966_6.9940_-4.9957_-15.9864
6,162087,0.0000_3.9966_6.9940_-4.9957_-15.9864,154704,-3.9954_2.9966_4.9943_-0.9989_-14.9829
6,154704,-3.9954_2.9966_4.9943_-0.9989_-14.9829,145396,-0.9984_3.9937_3.9937_-2.9953_-12.9795
6,145396,-0.9984_3.9937_3.9937_-2.9953_-12.9795,143128,0.0000_4.9915_4.9915_-1.9966_-11.9796
6,143128,0.0000_4.9915_4.9915_-1.9966_-11.9796,16462,-0.0000_-0.9175_0.0000_0.0000_0.0000
6,16462,-0.0000_-0.9175_0.0000_0.0000_0.0000,0,0.0000_-0.0000_0.0000_-0.0000_0.0000
6,0,0.0000_-0.0000_0.0000_-0.0000_0.0000,0,0.0000_-0.0000_0.0000_-0.0000_-0.0000
6,0,0.0000_-0.0000_0.0000_-0.0000_-0.0000,0,0.0000_-0.0000_-0.0000_-0.0000_0.0000
6,0,0.0000_-0.0000_-0.0000_-0.0000_0.0000,0,-0.0000_0.0000_0.0000_0.0000_-0.0000
6,0,-0.0000_0.0000_0.0000_0.0000_-0.0000,0,0.0000_-0.0000_-0.0000_0.0000_0.0000
6,0,0.0000_-0.0000_-0.0000_0.0000_0.0000,0,0.0000_-0.0000_-0.0000_0.0000_-0.0000
7,203024,9.9999_-27.9996_31.9996_9.9999_32.7680,202710,10.9998_-25.9996_29.9995_7.9999_32.7680
7,202710,10.9998_-25.9996_29.9995_7.9999_32.7680,198425,11.9998_-27.9997_29.9996_8.9999_31.9996
7,198425,11.9998_-27.9997_29.9996_8.9999_31.9996,198289,11.9998_-26.9996_29.9996_9.9999_30.9996
7,198289,11.9998_-26.9996_29.9996_9.9999_30.9996,198143,1.9998_-15.9987_9.9992_-7.9994_32.7680
7,198143,1.9998_-15.9987_9.9992_-7.9994_32.7680,193555,7.9994_-19.9986_12.9991_-0.9999_28.9980
7,193555,7.9994_-19.9986_12.9991_-0.9999_28.9980,193083,8.9993_-17.9986_12.9990_-0.0000_28.9978
7,193083,8.9993_-17.9986_12.9990_-0.0000_28.9978,190749,2.9997_-20.9976_4.9994_8.9990_24.9972
7,190749,2.9997_-20.9976_4.9994_8.9990_24.9972,182238,-6.9981_-5.9984_13.9962_13.9962_15.9956
7,182238,-6.9981_-5.9984_13.9962_13.9962_15.9956,180779,-4.9985_-5.9982_11.9963_15.9951_14.9954
7,180779,-4.9985_-5.9982_11.9963_15.9951_14.9954,152939,2.9964_-12.9842_-1.9975_3.9951_7.9903
7,152939,2.9964_-12.9842_-1.9975_3.9951_7.9903,152546,0.9988_-13.9827_-2.9963_1.9975_6.9914
7,152546,0.9988_-13.9827_-2.9963_1.9975_6.9914,117366,-3.9860_-3.9860_0.9965_-6.9754_-3.9860
7,117366,-3.9860_-3.9860_0.9965_-6.9754_-3.9860,86162,-2.9772_0.9924_-0.9924_-4.9617_1.9848
7,86162,-2.9772_0.9924_-0.9924_-4.9617_1.9848,0,0.0000_0.0000_0.0000_-0.0000_-0.0000
7,0,0.0000_0.0000_0.0000_-0.0000_-0.0000,0,0.0000_0.0000_0.0000_0.0000_-0.0000
7,0,0.0000_0.0000_0.0000_0.0000_-0.0000,0,0.0000_-0.0000_0.0000_0.0000_-0.0000
7,0,0.0000_-0.0000_0.0000_0.0000_-0.0000,0,0.0000_-0.0000_0.0000_0.0000_-0.0000
7,0,0.0000_-0.0000_0.0000_0.0000_-0.0000,0,-0.0000_0.0000_-0.0000_-0.0000_-0.0000
7,0,-0.0000_0.0000_-0.0000_-0.0000_-0.0000,0,-0.0000_0.0000_0.0000_0.0000_0.0000
7,0,-0.0000_0.0000_0.0000_0.0000_0.0000,0,0.0000_-0.0000_-0.0000_0.0000_0.0000
7,0,0.0000_-0.0000_-0.0000_0.0000_0.0000,0,-0.0000_0.0000_0.0000_0.0000_0.0000
7,0,-0.0000_0.0000_0.0000_0.0000_0.0000,0,-0.0000_-0.0000_-0.0000_0.0000_-0.0000
8,195488,-22.9990_-23.9989_-5.9997_-19.9991_15.9993,194895,-21.9988_-23.9988_-5.9997_-18.9990_14.9992
8,194895,-21.9988_-23.9988_-5.9997_-18.9990_14.9992,194411,-19.9988_-21.9987_-5.9996_-21.9987_13.9992
8,194411,-19.9988_-21.9987_-5.9996_-21.9987_13.9992,193695,-19.9986_-20.9986_-4.9997_-21.9985_11.9992
8,193695,-19.9986_-20.9986_-4.9997_-21.9985_11.9992,193213,-20.9984_-20.9985_-6.9995_-19.9985_9.9992
8,193213,-20.9984_-20.9985_-6.9995_-19.9985_9.9992,192183,-21.9980_-18.9983_-7.9993_-17.9984_8.9992
8,192183,-21.9980_-18.9983_-7.9993_-17.9984_8.9992,191957,-20.9980_-18.9982_-7.9993_-18.9982_7.9993
8,191957,-20.9980_-18.9982_-7.9993_-18.9982_7.9993,189961,-20.9974_-16.9979_-7.9990_-16.9979_5.9993
8,189961,-20.9974_-16.9979_-7.9990_-16.9979_5.9993,188193,-19.9969_-15.9975_-7.9988_-15.9975_4.9992
8,188193,-19.9969_-15.9975_-7.9988_-15.9975_4.9992,171217,-10.9939_1.9989_9.9945_-13.9922_-6.9961
8,171217,-10.9939_1.9989_9.9945_-13.9922_-6.9961,169672,-8.9946_1.9988_9.9940_-13.9916_-7.9952
8,169672,-8.9946_1.9988_9.9940_-13.9916_-7.9952,167284,-7.9945_0.9993_9.9932_-13.9906_-6.9953
8,167284,-7.9945_0.9993_9.9932_-13.9906_-6.9953,110874,-3.9834_-0.0000_4.9793_-3.9834_4.9793
8,110874,-3.9834_-0.0000_4.9793_-3.9834_4.9793,108137,-3.9823_-0.9956_4.9778_-2.9867_4.9778
8,108137,-3.9823_-0.9956_4.9778_-2.9867_4.9778,107182,-3.9818_-1.9909_4.9773_-1.9909_4.9773
8,107182,-3.9818_-1.9909_4.9773_-1.9909_4.9773,100355,-3.9785_-1.9893_3.9785_-2.9839_3.9785
8,100355,-3.9785_-1.9893_3.9785_-2.9839_3.9785,79140,-0.9910_-1.9819_0.9910_-4.9542_0.9910
8,79140,-0.9910_-1.9819_0.9910_-4.9542_0.9910,72941,0.0000_-0.0000_0.0000_-4.9463_-0.9895
8,72941,0.0000_-0.0000_0.0000_-4.9463_-0.9895,56495,-1.9672_-0.9837_0.0000_-2.9504_0.0000
8,56495,-1.9672_-0.9837_0.0000_-2.9504_0.0000,28143,-0.0000_0.9571_0.0000_-0.9571_-0.9571
8,28143,-0.0000_0.9571_0.0000_-0.9571_-0.9571,28143,0.9571_0.9571_0.9571_-0.0000_0.0000
8,28143,0.9571_0.9571_0.9571_-0.0000_0.0000,28143,0.9571_-0.0000_0.9571_-0.0000_-0.9571
8,28143,0.9571_-0.0000_0.9571_-0.0000_-0.9571,28143,-0.0000_-0.9571_0.9571_-0.9571_0.0000
8,28143,-0.0000_-0.9571_0.9571_-0.9571_0.0000,23168,0.9454_0.0000_0.0000_-0.9454_0.0000
8,23168,0.9454_0.0000_0.0000_-0.9454_0.0000,23168,0.0000_0.9454_-0.0000_-0.9454_0.0000
8,23168,0.0000_0.9454_-0.0000_-0.9454_0.0000,23168,-0.0000_0.0000_-0.0000_-0.9454_-0.9454
8,23168,-0.0000_0.0000_-0.0000_-0.9454_-0.9454,0,0.0000_-0.0000_-0.0000_-0.0000_-0.0000
8,0,0.0000_-0.0000_-0.0000_-0.0000_-0.0000,0,0.0000_-0.0000_0.0000_0.0000_0.0000
8,0,0.0000_-0.0000_0.0000_0.0000_0.0000,0,-0.0000_-0.0000_0.0000_-0.0000_-0.0000
9,193797,-0.9999_15.9989_10.9993_-16.9989_-28.9981,193395,0.9999_15.9989_9.9993_-15.9988_-28.9979
9,193395,0.9999_15.9989_9.9993_-15.9988_-28.9979,193050,0.9999_16.9987_8.9993_-15.9988_-27.9978
9,193050,0.9999_16.9987_8.9993_-15.9988_-27.9978,191702,2.9997_15.9985_9.9990_-14.9985_-25.9975
9,191702,2.9997_15.9985_9.9990_-14.9985_-25.9975,191490,4.9995_15.9984_11.9988_-13.9986_-24.9975
9,191490,4.9995_15.9984_11.9988_-13.9986_-24.9975,191237,4.9995_15.9983_10.9989_-13.9985_-24.9974
9,191237,4.9995_15.9983_10.9989_-13.9985_-24.9974,190578,8.9989_15.9982_5.9993_-12.9985_-24.9972
9,190578,8.9989_15.9982_5.9993_-12.9985_-24.9972,189907,7.9990_16.9979_3.9995_-10.9986_-24.9968
9,189907,7.9990_16.9979_3.9995_-10.9986_-24.9968,187956,3.9994_14.9976_0.9998_-12.9979_-23.9962
9,187956,3.9994_14.9976_0.9998_-12.9979_-23.9962,185720,2.9994_15.9968_0.9998_-10.9978_-21.9956
9,185720,2.9994_15.9968_0.9998_-10.9978_-21.9956,180974,2.9991_12.9961_2.9991_-11.9964_-18.9943
9,180974,2.9991_12.9961_2.9991_-11.9964_-18.9943,173971,0.9995_10.9948_2.9986_-9.9952_-16.9919
9,173971,0.9995_10.9948_2.9986_-9.9952_-16.9919,172536,0.0000_10.9943_3.9979_-9.9949_-15.9917
9,172536,0.0000_10.9943_3.9979_-9.9949_-15.9917,170978,1.9989_9.9944_3.9978_-10.9938_-14.9916
9,170978,1.9989_9.9944_3.9978_-10.9938_-14.9916,156815,4.9947_1.9979_0.0000_-15.9831_-2.9969
9,156815,4.9947_1.9979_0.0000_-15.9831_-2.9969,156013,5.9936_3.9957_0.9989_-14.9837_-2.9967
9,156013,5.9936_3.9957_0.9989_-14.9837_-2.9967,155663,4.9945_4.9945_0.0000_-14.9835_-2.9967
9,155663,4.9945_4.9945_0.0000_-14.9835_-2.9967,152281,4.9938_3.9950_-1.9975_-13.9826_-3.9950
9,152281,4.9938_3.9950_-1.9975_-13.9826_-3.9950,147352,4.9926_3.9941_-1.9970_-12.9808_-2.9956
9,147352,4.9926_3.9941_-1.9970_-12.9808_-2.9956,120247,3.9870_-2.9903_3.9870_-3.9870_-6.9772
